,Coefficient
AdultWeekday,19.944960871185945
vertical_drop,1.7659800933158898
Runs,1.6888656038212013
quad,1.5190454226771009
averageSnowfall,1.4527335990495136
triple,1.4156589723995772
K-Means Clusters,1.325113049767072
surface,1.2917934938637143
daysOpenLastYear,0.9968191872189549
fastQuads,0.7960401608170272
total_chairs,0.7214629978930049
NightSkiing_ac,0.5983491366720689
fastSixes,0.5032329300998707
SkiableTerrain_ac,0.3975613786457694
double,0.3434102089198652
projectedDaysOpen,0.3157699447158651
yearsOpen,0.2833140279111954
trams,0.2621044732955954
LongestRun_mi,0.19898468382933546
TerrainParks,0.14101326473181433
Snow Making_ac,0.09627143131362129
fastEight,0.07722594070018955
